,Transformation parameter epsilon,RMS colon PLM,Parameter A,Parameter gamma,Inverse parameter A,Inverse parameter gamma
82,0.24169861606699497,0.5881767255654636,4.966309168002219e-07,4.386409028641068,1.4337320085097595e-06,4.386409028641068
83,0.24447676107925928,0.588115457144945,4.91205854883889e-07,4.386140040035187,1.4353623527445242e-06,4.386140040035187
84,0.2472549060915236,0.5906993710569749,5.334380179212906e-07,4.3647430746813685,1.5695543788796567e-06,4.3647430746813685
85,0.2500330511037879,0.5861079291659157,4.3477391864095157e-07,4.408216785915226,1.309009550133487e-06,4.408216785915226
86,0.2528111961160522,0.5954675466052887,5.927896595973485e-07,4.335468952179474,1.7738271483720993e-06,4.335468952179474
87,0.2555893411283165,0.589293869410969,4.988396075002249e-07,4.371679706743835,1.5248317454435726e-06,4.371679706743835
88,0.2583674861405808,0.5916207467186442,5.313410682612459e-07,4.354716886728873,1.6368376269250098e-06,4.354716886728873
89,0.2611456311528451,0.5972224744095027,6.077621415493541e-07,4.321751226226885,1.8788027963527023e-06,4.321751226226885
90,0.2639237761651094,0.5923528755414699,5.393858658690368e-07,4.345912089326462,1.698364038524318e-06,4.345912089326462
91,0.26670192117737374,0.5927412822485868,5.425597795953909e-07,4.341887381790421,1.7272537153823016e-06,4.341887381790421
92,0.26948006618963805,0.5903974675748815,5.072184368264575e-07,4.354325079011707,1.639826238671784e-06,4.354325079011707
93,0.27225821120190236,0.5892514546507394,4.876909855564529e-07,4.360435376887299,1.5985405164699144e-06,4.360435376887299
94,0.27503635621416667,0.590305330652711,5.001862951177098e-07,4.35204240393026,1.6556525566228417e-06,4.35204240393026
95,0.277814501226431,0.5889283942347475,4.6381534795854165e-07,4.366246952485521,1.5600813329183533e-06,4.366246952485521
96,0.2805926462386953,0.5949088258325491,5.519495836606016e-07,4.324559008058368,1.8573316948180083e-06,4.324559008058368
97,0.2833707912509596,0.5941612773090211,5.399272101400919e-07,4.326809943108516,1.8400092754703689e-06,4.326809943108516
98,0.2861489362632239,0.5910549837879812,4.99520416272941e-07,4.341543789014759,1.7301728704917734e-06,4.341543789014759
99,0.2889270812754882,0.5940501798394049,5.331048341375154e-07,4.324296459336826,1.859614424066342e-06,4.324296459336826
100,0.29170522628775253,0.5882113987469805,4.561349105452356e-07,4.356483272335809,1.6255435985231584e-06,4.356483272335809
101,0.29448337130001684,0.5898324373781568,4.765577837861093e-07,4.344000076276574,1.7126972915731679e-06,4.344000076276574
102,0.29726151631228115,0.5929774409758738,5.106115685272082e-07,4.325898583957721,1.8473959534674895e-06,4.325898583957721
103,0.30003966132454546,0.5929369561463692,5.076249206026027e-07,4.324535994651579,1.858035721218669e-06,4.324535994651579
104,0.30281780633680977,0.5954107719467684,5.295363760626299e-07,4.312437782781675,1.954490473175375e-06,4.312437782781675
105,0.3055959513490741,0.5949003441250027,5.205043610414862e-07,4.313609469836857,1.9450050574198476e-06,4.313609469836857
106,0.3083740963613384,0.5951710685445404,5.202861672426043e-07,4.3110439079640415,1.966072646241036e-06,4.3110439079640415
107,0.313930386385867,0.5944179938004066,5.051457960751986e-07,4.312299453753375,1.9559062625912796e-06,4.312299453753375
108,0.3167085313981313,0.5871777191242158,4.237520696290168e-07,4.348707488386303,1.679785364299571e-06,4.348707488386303
109,0.31948667641039563,0.5809137319627037,2.998345055095334e-07,4.4229312128514175,1.2318818854853336e-06,4.4229312128514175
110,0.32226482142265994,0.5838985261205515,3.679996836212005e-07,4.374671450241387,1.507012950478103e-06,4.374671450241387
111,0.32504296643492425,0.5831084079266357,3.579455132520399e-07,4.378137959521814,1.485436172584229e-06,4.378137959521814
112,0.32782111144718856,0.5846221397035698,3.8231812764798416e-07,4.360839406166853,1.596913971404409e-06,4.360839406166853
113,0.3305992564594529,0.5842463453529421,3.7515458260609534e-07,4.362352881432186,1.5868858350134854e-06,4.362352881432186
114,0.3333774014717172,0.5896484032706742,4.387146657039455e-07,4.325019043026507,1.8551351831667866e-06,4.325019043026507
115,0.3361555464839815,0.587201247101945,4.115873349423835e-07,4.336497553944195,1.7682735220151729e-06,4.336497553944195
116,0.3389336914962458,0.593814332272597,4.722726541363e-07,4.303418974272105,2.0306884548874654e-06,4.303418974272105
117,0.3417118365085101,0.5891292842273442,4.263549478587569e-07,4.323394528637696,1.8680068664457376e-06,4.323394528637696
118,0.3444899815207744,0.5844661002825933,3.728401293018356e-07,4.350374719582692,1.6687167998886903e-06,4.350374719582692
119,0.34726812653303873,0.5790261579354391,2.702278209403371e-07,4.418817348440205,1.2536064128301496e-06,4.418817348440205
120,0.35004627154530304,0.5788841346751288,2.7174103563290267e-07,4.414879521416114,1.2744393733279727e-06,4.414879521416114
121,0.35282441655756736,0.5868545548490236,3.923185560784628e-07,4.331171695091989,1.808435307081874e-06,4.331171695091989
122,0.35560256156983167,0.5975116925973976,1.3314755951436154e-07,4.566897040558886,6.755034530943619e-07,4.566897040558886
123,0.358380706582096,0.5973218778997808,1.3166915098406356e-07,4.566565541697636,6.764518904951017e-07,4.566565541697636
124,0.3611588515943603,0.5908201380512247,4.2240600004284253e-07,4.306995497288431,2.00114837960525e-06,4.306995497288431
125,0.3639369966066246,0.5908565688282573,4.2070893907183313e-07,4.305260697145888,2.0158271495187877e-06,4.305260697145888
126,0.3667151416188889,0.5881562437385397,3.941542807476954e-07,4.316966397420457,1.919537118703951e-06,4.316966397420457
