,Transformation parameter epsilon,RMS myeloma IM-III,Parameter A,Parameter tau,Parameter C,Parameter alpha,Inverse parameter A,Inverse parameter gamma,Inverse parameter C,Inverse parameter alpha
50,0.24212409832323625,0.24212409832323625,0.037113639768031906,12.329960207000234,0.9991575661849335,0.1278078640699067,0.037113639768031906,12.329960207000234,0.9991992274816791,0.1278078640699067
51,0.24252598512675602,0.24252598512675602,0.043412759909246396,13.536214805389367,0.9990138711874317,0.12776233109692509,0.043412759909246396,13.536214805389367,0.9990632815642891,0.12776233109692509
52,0.24309610806230098,0.24309610806230098,0.04897679329328326,14.46491988237607,0.998886647400586,0.1277260052722426,0.04897679329328326,14.46491988237607,0.9989431958965065,0.1277260052722426
53,0.24198411840888498,0.24198411840888498,0.046039886927164965,13.995528317438408,0.9989515198241704,0.1277653144503292,0.046039886927164965,13.995528317438408,0.9990066302757907,0.1277653144503292
54,0.2431261834424618,0.2431261834424618,0.053323534701758546,15.125178500635524,0.9987847844606951,0.12771431612669035,0.053323534701758546,15.125178500635524,0.9988494196778742,0.12771431612669035
55,0.241356772026431,0.241356772026431,0.04591276425893463,13.978568776478378,0.9989526051479141,0.12777946750312386,0.04591276425893463,13.978568776478378,0.999009416832039,0.12777946750312386
56,0.23961667304742876,0.23961667304742876,0.03789114133601413,12.504430652438849,0.9991347087465794,0.12784977004464973,0.03789114133601413,12.504430652438849,0.9991825819017248,0.12784977004464973
57,0.2392758184758561,0.2392758184758561,0.0360323024323681,12.121715292989405,0.9991764111050743,0.12787320543094047,0.0360323024323681,12.121715292989405,0.9992227321500137,0.12787320543094047
58,0.24080921593550705,0.24080921593550705,0.04842287143685494,14.397634223631517,0.998892505678532,0.12778908172551007,0.04842287143685494,14.397634223631517,0.9989553099850527,0.12778908172551007
59,0.23996620099618257,0.23996620099618257,0.04425251003599126,13.707071931618328,0.9989869504089492,0.12782334645635574,0.04425251003599126,13.707071931618328,0.9990453642561141,0.12782334645635574
60,0.24070871149212417,0.24070871149212417,0.050936093723944476,14.787560519349581,0.9988331088683813,0.12777645231408952,0.050936093723944476,14.787560519349581,0.9989011028597817,0.12777645231408952
61,0.23931332028288835,0.23931332028288835,0.044043241731621385,13.674035301204713,0.9989900165657105,0.12783553796587155,0.044043241731621385,13.674035301204713,0.999049936310718,0.12783553796587155
62,0.23755706267974255,0.23755706267974255,0.03442221251322508,11.781301290485594,0.9992098180829516,0.1279163567297239,0.03442221251322508,11.781301290485594,0.9992576178282002,0.1279163567297239
63,0.23838944195319847,0.23838944195319847,0.04086753351466554,13.106774118289316,0.9990611645352082,0.12787770382828756,0.04086753351466554,13.106774118289316,0.9991185588794593,0.12787770382828756
64,0.2396681590409008,0.2396681590409008,0.05094950061491569,14.799633197182587,0.9988287979001397,0.12780376936057491,0.05094950061491569,14.799633197182587,0.9989009472593996,0.12780376936057491
65,0.23631711076617246,0.23631711076617246,0.03327229030516185,11.530142834618298,0.9992342242081169,0.12795196663162225,0.03327229030516185,11.530142834618298,0.9992825297439303,0.12795196663162225
66,0.23708463775403485,0.23708463775403485,0.04135596754407974,13.203255920229475,0.9990475243765985,0.12789320496602039,0.04135596754407974,13.203255920229475,0.9991081061894649,0.12789320496602039
67,0.2374394705773669,0.2374394705773669,0.04406128898562997,13.692956073411205,0.9989844086549144,0.1278785134142329,0.04406128898562997,13.692956073411205,0.9990497569284998,0.1278785134142329
68,0.24122942827179195,0.24122942827179195,0.0632652157685466,16.46775083837888,0.9985410632188501,0.12773710499449947,0.0632652157685466,16.46775083837888,0.9986351650762324,0.12773710499449947
69,0.2360868608374114,0.2360868608374114,0.04345466824714435,13.594502054587387,0.9989958162441928,0.12790692531682823,0.04345466824714435,13.594502054587387,0.9990629690013085,0.12790692531682823
70,0.23875796830737575,0.23875796830737575,0.05774512149464636,15.775846447665602,0.9986648164207725,0.12780202387131326,0.05774512149464636,15.775846447665602,0.9987544959632332,0.12780202387131326
71,0.23366988364276076,0.23366988364276076,0.03736642607153003,12.449226135123773,0.9991341735921582,0.12799035215808147,0.03736642607153003,12.449226135123773,0.9991945085833862,0.12799035215808147
72,0.23100828403068663,0.23100828403068663,0.026755190405817093,9.87131512359218,0.9993794301731236,0.1280660911321278,0.026755190405817093,9.87131512359218,0.9994234030847348,0.1280660911321278
