,Transformation parameter epsilon,RMS CML IM-III,Parameter A,Parameter tau,Parameter C,Parameter alpha,Inverse parameter A,Inverse parameter gamma,Inverse parameter C,Inverse parameter alpha
59,0.02155310161733474,0.16841316591467081,0.005901751563777441,-35.3226896570782,0.9997563743263166,0.06600310117966723,0.005901751563777441,-35.3226896570782,0.9998945898733833,0.06600310117966723
60,0.021918408424408214,0.1677329991076408,0.006621118336006417,-33.575966007098515,0.9997242731386952,0.066009985653308,0.006621118336006417,-33.575966007098515,0.9998819872299828,0.066009985653308
61,0.022283715231481684,0.16798845470701548,0.00880096914738946,-29.27515974952133,0.9996303645434347,0.06600361498591444,0.00880096914738946,-29.27515974952133,0.9998433660616172,0.06600361498591444
62,0.022649022038555153,0.1661595465902756,0.006537116525709895,-33.71239361350525,0.9997228175464397,0.06605194362307336,0.006537116525709895,-33.71239361350525,0.9998842019321927,0.06605194362307336
63,0.023014328845628623,0.16478411993016642,0.004126698047613724,-40.588651024241024,0.9998233309950738,0.06610520387067534,0.004126698047613724,-40.588651024241024,0.99992731565998,0.06610520387067534
64,0.023379635652702093,0.16441366216686898,0.005669195342319584,-35.792068956593354,0.9997552702370317,0.06610479952855676,0.005669195342319584,-35.792068956593354,0.9999003203346339,0.06610479952855676
65,0.023744942459775563,0.1656295007020681,0.011087009374894539,-25.725804012610453,0.9995179776657064,0.06605212297062467,0.011087009374894539,-25.725804012610453,0.9998047159106014,0.06605212297062467
66,0.024110249266849033,0.1635066871784074,0.006720867206161303,-33.17780788563254,0.999704864459444,0.06613407609111635,0.006720867206161303,-33.17780788563254,0.999882571702964,0.06613407609111635
67,0.024475556073922503,0.1630535269342682,0.00786608112717756,-30.800003354009686,0.9996517570208795,0.066137304726757,0.00786608112717756,-30.800003354009686,0.9998628668798312,0.066137304726757
68,0.024840862880995972,0.16154159636105558,0.005105822944647114,-37.239103138055576,0.9997718401661781,0.06619729047721033,0.005105822944647114,-37.239103138055576,0.9999116106672186,0.06619729047721033
69,0.025206169688069446,0.16049561513910798,0.0030978603536454467,-44.73976717734405,0.9998604340733867,0.06622386214002056,0.0030978603536454467,-44.73976717734405,0.9999466874731772,0.06622386214002056
70,0.025571476495142915,0.16049413806243784,0.006186539934862327,-34.299662506389765,0.999718935458843,0.0662281220938456,0.006186539934862327,-34.299662506389765,0.9998936197811451,0.0662281220938456
71,0.025936783302216385,0.15992743795668057,0.0060222273074742785,-34.68239919237483,0.9997242140366558,0.06624394217272131,0.0060222273074742785,-34.68239919237483,0.9998969056360425,0.06624394217272131
72,0.026302090109289855,0.1588367200032852,0.004636454644500809,-38.57263897801463,0.9997858753241587,0.06628137861876418,0.004636454644500809,-38.57263897801463,0.9999210962206752,0.06628137861876418
73,0.026667396916363325,0.15809699794904164,0.004177295989063726,-40.10275647312099,0.999805479396025,0.06630977776536838,0.004177295989063726,-40.10275647312099,0.9999292678663447,0.06630977776536838
74,0.027032703723436795,0.15809545713227707,0.005896830258909183,-34.91240023901572,0.9997233533668541,0.06630619039322382,0.005896830258909183,-34.91240023901572,0.999900401633264,0.06630619039322382
75,0.027398010530510265,0.15763379243422018,0.0064381345964955854,-33.57563065901172,0.9996956195109236,0.06631731504615863,0.0064381345964955854,-33.57563065901172,0.9998916510875074,0.06631731504615863
76,0.027763317337583734,0.15772270850155537,0.008468997720841278,-29.457258715015477,0.9995966813292092,0.06630921345114756,0.008468997720841278,-29.457258715015477,0.9998577430420216,0.06630921345114756
77,0.028128624144657204,0.156862599661415,0.007226997579001368,-31.794699451232628,0.9996530314492663,0.06634642811182398,0.007226997579001368,-31.794699451232628,0.999879410971902,0.06634642811182398
78,0.028493930951730678,0.15709927003934437,0.009285339685674406,-28.02469753942953,0.9995509538009586,0.06634245205678825,0.009285339685674406,-28.02469753942953,0.9998454582050417,0.06634245205678825
79,0.028859237758804147,0.15575117789488008,0.006457319918363212,-33.42228943895528,0.9996851596510689,0.06639499295175086,0.006457319918363212,-33.42228943895528,0.9998934596026602,0.06639499295175086
80,0.029224544565877617,0.15497129622860198,0.005039906726008092,-37.08786437594813,0.999752276798509,0.06643827452936985,0.005039906726008092,-37.08786437594813,0.9999174886373906,0.06643827452936985
