,Transformation parameter epsilon,RMS myeloma PLM,Parameter A,Parameter gamma,Inverse parameter A,Inverse parameter gamma
184,0.3830002439130028,0.626567877316223,5.5022208767554636e-08,4.286612117209931,2.841523067991114e-07,4.286612117209931
185,0.3850817669777474,0.626575830255763,5.4724662151258406e-08,4.285857997053491,2.8506585972844326e-07,4.285857997053491
186,0.38716329004249195,0.6265840102749142,5.4428728714374475e-08,4.285104538311583,2.8598154680040915e-07,4.285104538311583
187,0.3892448131072365,0.6265924104493621,5.413442691744525e-08,4.284351632148241,2.8689950305700066e-07,4.284351632148241
188,0.3913263361719811,0.6266010309581337,5.38417315561702e-08,4.283599341854463,2.8781965383943803e-07,4.283599341854463
189,0.3934078592367257,0.6266098684819642,5.3550640982872996e-08,4.282847637783297,2.8874203794548714e-07,4.282847637783297
190,0.3954893823014703,0.6266189204441832,5.326116151640218e-08,4.282096457727662,2.896667347359799e-07,4.282096457727662
191,0.39757090536621487,0.6266282173733808,5.297320064911701e-08,4.281346138100561,2.905933298515619e-07,4.281346138100561
192,0.39965242843095944,0.626637717315417,5.2686849392718894e-08,4.280596276859308,2.915223235331073e-07,4.280596276859308
193,0.401733951495704,0.62664743847661,5.240205021144273e-08,4.279847070395082,2.9245347439456066e-07,4.279847070395082
194,0.4038154745604486,0.6266573812067563,5.211880042179664e-08,4.279098494150359,2.93386814809519e-07,4.279098494150359
195,0.40589699762519316,0.6266675396574904,5.183709885360334e-08,4.2783505171800895,2.943223857443144e-07,4.2783505171800895
196,0.4079785206899378,0.6266779222217882,5.155692923894605e-08,4.277603170469228,2.9526015020963316e-07,4.277603170469228
197,0.41006004375468236,0.6266885173089828,5.127826696746708e-08,4.276856521320353,2.9620002576541635e-07,4.276856521320353
198,0.41214156681942693,0.6266993151221278,5.100113898192746e-08,4.2761104221280455,2.971422007795552e-07,4.2761104221280455
199,0.4142230898841715,0.6267103523774559,5.0725481943167677e-08,4.275365101884272,2.980863857755407e-07,4.275365101884272
200,0.4163046129489161,0.6267215979114064,5.045134365623653e-08,4.274620325361963,2.990328818008537e-07,4.274620325361963
201,0.41838613601366065,0.6267330569762929,5.017869209773774e-08,4.273876191823116,2.9998156479424376e-07,4.273876191823116
202,0.4204676590784052,0.6267447266229075,4.9907516645862117e-08,4.273132711270246,3.009324237224155e-07,4.273132711270246
203,0.42254918214314985,0.62675661939506,4.9637793396272335e-08,4.272389950861319,3.0188537331103644e-07,4.272389950861319
204,0.4246307052078944,0.6267687238303452,4.936955691113917e-08,4.271647727198939,3.0284065138989166e-07,4.271647727198939
205,0.426712228272639,0.6267810454902665,4.9102729539605114e-08,4.270906340547319,3.037978721467824e-07,4.270906340547319
206,0.42879375133738357,0.6267935555403459,4.8837389861745854e-08,4.270165416157121,3.04757522677152e-07,4.270165416157121
207,0.43087527440212814,0.6268063207568985,4.857343016952595e-08,4.269425386544718,3.057190405514377e-07,4.269425386544718
208,0.4329567974668727,0.6268192746641477,4.831091989017152e-08,4.268685916041573,3.0668286584552195e-07,4.268685916041573
209,0.4350383205316173,0.6268324401055849,4.804982275259621e-08,4.2679471281466315,3.0764883836437557e-07,4.2679471281466315
210,0.4371198435963619,0.6268458250274082,4.779013123268191e-08,4.2672090214513,3.0861696073171534e-07,4.2672090214513
211,0.4392013666611065,0.6268594155915677,4.7531831670381686e-08,4.26647162283259,3.095871991960353e-07,4.26647162283259
212,0.44128288972585106,0.6268732121336229,4.727493026411781e-08,4.265734870225243,3.10559636753352e-07,4.265734870225243
213,0.44336441279059563,0.6268872037220135,4.7019419842724154e-08,4.26499876115025,3.1153427859113693e-07,4.26499876115025
214,0.4454459358553402,0.6269014354627408,4.676525335715067e-08,4.264263472930096,3.125108882504557e-07,4.264263472930096
215,0.4475274589200848,0.6269158492988006,4.651248983570462e-08,4.263528705268443,3.134898686503816e-07,4.263528705268443
216,0.44960898198482935,0.6269304958515348,4.6261035057827007e-08,4.2627948521523455,3.1447069282433586e-07,4.2627948521523455
217,0.451690505049574,0.6269453474816976,4.6010936512728664e-08,4.26206166432017,3.154536950136938e-07,4.26206166432017
